from,to,weight,type,year
AA,MGP,6,4,2019
AA,PR2,6,2,2024
AA,MA,,1,2025
AA2,RBR,6,4,2012
AA2,S3,4,3,2015
AA2,ART3,4,3,2016
AA2,ART2,4,2,2017
AA2,DAMS2,4,2,2018
AA2,VC,,1,2019
AG,DRR3,4,3,2013
AG,RC3,4,3,2014
AG,PR2,6,2,2016
AG,S1,,1,2017
AR,ART3,6,3,2010
AR,CR2,2,2,2013
AR,CGP2,2,2,2014
AR,MR,,1,2015
AR,RE2,2,2,2015
BH,RBR,6,4,2006
BH,RC3,6,3,2008
BH,ORT2,6,2,2011
BH,VC,,1,2018
CL,VAR3,4,3,2015
CL,ART3,4,3,2016
CL,FDA,6,4,2016
CL,PR2,6,2,2017
CL,S1,,1,2018
CS,RBR,6,4,2010
CS,RC3,4,3,2012
CS,A3,4,3,2013
CS,VC,,1,2015
DK,RBR,6,4,2010
DK,A3,4,3,2013
DK,RC3,4,3,2013
DK,VC,,1,2014
DR,SG3,6,3,2008
DR,RBR,6,4,2008
DR,HRT,,1,2011
EG,ART3,6,3,2009
EG,ART2,6,2,2011
EG,S1,,1,2013
EO,PR3,4,3,2014
EO,ART3,4,3,2015
EO,MGP,6,4,2015
EO,MR,,1,2016
FA,M,,1,2001
FC,VAR3,4,3,2022
FC,MP2,6,2,2023
FC,MP3,4,3,2023
FC,WDA,6,4,2023
FC,W,,1,2024
FM,S1,,1,2002
GB,TR3,6,3,2023
GB,MCL,6,4,2023
GB,IR2,6,2,2024
GB,S1,,1,2025
GR,RC3,2,3,2015
GR,HGP3,2,3,2016
GR,ART3,2,3,2017
GR,MGP,6,4,2017
GR,ART2,6,2,2018
GR,W,,1,2019
IH,HGP3,6,3,2022
IH,RBR,6,4,2022
IH,HGP2,4,2,2023
IH,CGP2,4,2,2024
IH,VC,,1,2025
JB,W,,1,2000
JD,RBR,4,4,2017
JD,HWA3,4,3,2020
JD,MP2,4,2,2021
JD,TR3,4,3,2021
JD,IR2,4,2,2022
JD,AP,4,4,2022
JD,A,,1,2024
JP,MSVR2,2,2,2009
JP,A2,2,2,2011
JP,ISI2,2,2,2012
JP,RC2,2,2,2013
JP,DAMS2,2,2,2014
JP,A,,1,2016
KM,M3,6,3,2010
KM,MCL,6,4,2010
KM,A,,1,2016
KR,S1,,1,2001
LFN,DAMS2,4,2,2012
LFN,RC3,6,3,2012
LFN,RC2,4,2,2013
LFN,S1,,1,2015
LH,MCL,6,4,1998
LH,MMT3,4,3,2004
LH,ART3,4,3,2005
LH,ART2,6,2,2006
LH,ML,,1,2007
LL,MP3,4,3,2019
LL,RBR,6,4,2019
LL,HGP3,4,3,2020
LL,HGP2,4,2,2021
LL,RC2,4,2,2022
LL,VC,,1,2023
LN,RC3,6,3,2016
LN,CGP2,4,2,2017
LN,MCL,6,4,2017
LN,RC2,4,2,2018
LN,ML,,1,2019
LS,FDA,6,4,2010
LS,PR3,6,3,2015
LS,W,,1,2017
LS2,RC3,2,3,2019
LS2,PR3,2,3,2020
LS2,HWA2,2,2,2021
LS2,CRS3,2,3,2021
